

79500,79500,79500,60000,50000,50000,40000,40000,50000,60000,79500,79500,79500,79500,79500,79500,65081.32,79500,93202.57,93202.57,93202.57,93202.57,79500,79500
60000,50000,50000,50000,50000,60000,60001,79500,81417.36,83900,83900,83900,83900,83900,83900,83900,83900,110853.09,166562.54,166562.54,166206.17,110853.09,83900,79500
53000,50000,50000,50000,50000,75000,75000,75000,83500,83500,84452.97,96872.78,84452.97,84452.97,96872.78,84452.97,84452.97,96872.78,189026.99,189026.99,186542,140271,83500,75000
49995,49995,49000,49000,49995,50000,70000,70000,74000,74000,110514.05,132796.88,74000,74000,86805.81,110514.05,86805.81,132796.88,168790,180000,148432.24,132796.88,74000,70000
36040,36040,36040,36040,36040,36040,37769,41000,50000,64274.43,64274.43,64274.43,64274.43,64274.43,64274.43,64274.43,64274.43,64274.43,70000,70000,68000,64610.32,50000,37769
50000,49000,49000,49000,49000,62107,65000,65000,75000,75000,75967.15,75967.15,75967.15,75967.15,75967.15,75967.15,75967.15,75967.15,149567.03,149567.03,149567.03,75967.15,75000,65000
36098,36098,36098,36098,36098,36098,36098,36098,38011,43000,43000,50000,43000,43000,43000,43000,38011,43000,65000,65000,65000,60087.76,43000,36098
62000,54000,54000,54000,54000,54000,50000,54000,56877.93,70000,75000,75000,75000,75000,75000,70000,70000,75000,113543.96,124482.79,113543.96,78500,75000,62000
50067.98,50000,43000,43000,43000,43000,43000,50000,53891.47,53891.47,53891.47,53891.47,53891.47,53891.47,53891.47,53891.47,53891.47,53891.47,62000,70516.85,62000,53891.47,53891.47,53891.47
58000,58000,58000,58000,58000,58500,58500,59000,64477.03,73500,73500,73500,73500,73500,73500,73500,73500,73500,149310.14,149310.14,144092,73500,64477.03,58581.35
51418.12,51418.12,51418.12,51418.12,51418.12,51418.12,51418.12,51418.12,57000,57000,57000,58000,57000,57000,58000,57000,57000,57000,73500,73500,73500,58000,57000,51418.12
38000,36098,36098,36098,38000,38000,38011,45000,56200,56200,60000,72171.9,60000,60000,70000,60000,60000,60000,73500,73500,73500,70000,56200,38011
52000,52000,52000,52000,52000,52000,55000,55000,60526.39,65622.23,65622.23,82019.18,65622.23,81980.77,82019.18,82019.18,65622.23,112009.85,166835.32,166835.32,166835.32,126086.41,65622.23,55000
40057.94,40000,39000,39000,39000,40000,40000,48000,48000,48000,50000,50000,51000,50000,48000,48000,48000,48000,55000,55000,55000,51000,48000,48000
48000,47007.81,47007.81,47007.81,47007.81,47007.81,45000,47007.81,48000,50000,50000,52000,52000,52000,52000,50000,50000,52000,53651.46,53651.46,53651.46,53651.46,53000,50000
39000,39000,39000,39000,39000,49000,49000,50000,60000,85000,87077.65,87077.65,87077.65,87077.65,87077.65,87077.65,87077.65,87077.65,87077.65,87077.65,87077.65,87077.65,85000,49000
40603.7,40603.7,40603.7,40603.7,40603.7,40603.7,40603.7,44500,45000,45000,51852.35,60000,60000,51852.35,60000,60000,60000,60000,96601.64,96601.64,96601.64,64506.11,44500,40603.7
60000,58000,58000,58000,58000,75000,100000,110156.12,112182.73,147853.15,161990.4,161990.4,161990.4,161990.4,161990.4,161990.4,161990.4,148623,161990.4,161990.4,161990.4,161990.4,112182.73,78927.42
37556,37556,37555,37555,37556,59987.19,59987.19,59987.19,59987.19,59987.19,59987.19,60000,59987.19,59987.19,60000,60000,59987.19,59987.19,74000,74000,67605.3,59987.19,59987.19,59987.19
38125.35,37556,37556,37556,37556,42278.69,42278.69,42278.69,42278.69,42278.69,42278.69,46786.49,42278.69,42278.69,42278.69,42278.69,42278.69,42278.69,148623,148623,60000,42278.69,42278.69,42278.69
37000,37000,37000,37000,37000,37000,37000,37300,37805,37806,37807,37807,37807,37806,37806,37806,37805,37806,70000,76069.39,66667.91,37807,37806,37300
50000,50000,50000,50000,50000,50000,50000,50000,50000,55000,55000,55000,55000,55000,55000,55000,55000,55000,162452.62,162452.62,162452.62,59000,55000,50000
37337.55,37337.55,37337.55,37337.55,37337.55,37337.55,37806,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,139162.66,139162.66,66369.32,53000,53000,37806
52000,48000,37806,37806,52000,52000,60000,61000,73882.33,73882.33,73882.33,73882.33,73882.33,73882.33,73882.33,73882.33,73882.33,73882.33,127643.03,127643.03,73882.33,73882.33,61000,52000
59000,59000,59000,59000,59000,63000,63000,63000,69006.41,100567.6,107325.79,148623,140754.23,135000,148623,148623,140754.23,148623,171511.86,171511.86,171511.86,148623,69006.41,63000
36099,36099,36099,36099,36099,36099,37806,48643.5,55000,55000,55000,57000,55000,55000,55000,55000,55000,55000,94111.34,94111.34,92561.54,57000,55000,37806
36098,36098,36098,36098,36098,36098,37806,40000,40000,49000,55000,55000,55000,55000,55000,55000,55000,55000,94400.33,94400.33,60000,55000,49000,37806
55000,40000,40000,40000,40000,40000,40000,65000,65000,65925.97,65925.97,65925.97,87605.67,65925.97,65925.97,65925.97,65000,65925.97,180000,180000,175000,95712.18,65925.97,65000
38000,38000,37892,37892,37892,37892,37892,37892,38000,38000,38000,38000,55000,38000,38000,38000,38000,38000,91382.05,120441.51,104820.1,60000,55000,38000
37892,37892,37892,37892,37892,38000,38000,38000,65000,130706.03,134615.08,136996.17,136996.17,136996.17,148289.57,136996.17,136996.17,136996.17,148289.57,148289.57,148289.57,148289.57,65000,38000
36099,36099,36099,36099,36099,36099,37892,37900,38000,38000,54472.97,54472.97,54472.97,54472.97,54472.97,54472.97,38000,54472.97,65000,71363.68,65000,54472.97,38000,37891
37000,36366,36366,36366,36366,37000,37000,41108.07,55000,65000,71352.99,74563.15,71352.99,71352.99,71352.99,71352.99,71352.99,71352.99,136924.64,136924.64,136924.64,78942.91,55000,37000
36367,36367,36367,36367,36367,36500,36500,54000,64000,97894.5,97894.5,97894.5,97894.5,97894.5,97894.5,97894.5,97894.5,97894.5,120000,120000,97894.5,97894.5,64000,36500
36367,36367,36367,36366,36367,50000,50000,54000,75497.72,125000,140971.79,140971.79,140971.79,140971.79,140971.79,140971.79,140971.79,140971.79,140971.79,140971.79,140971.79,140971.79,75497.72,50000
45000,45000,45000,45000,45000,45000,45000,45000,49000,49500,107590.8,119856.68,119856.68,60000,55000,49000,49000,49500,189499.85,189499.85,180000,115448.81,49000,45000
48500,48000,44000,44000,44000,44000,44000,44000,48500,54000,54000,54000,54000,54000,54000,54000,54000,54000,108651.49,128158.57,95881.05,86003.6,54000,54000
40000,37031,37031,37031,37032,40500,43900,43900,48859.21,48859.21,48859.21,48859.21,48859.21,48859.21,48859.21,48859.21,48859.21,48859.21,51900,51900,51900,48859.21,48859.21,43900
41000,37033,37033,37033,37033,41350,49000,49500,76686.22,76686.22,105388.73,105388.73,105388.73,105388.73,105388.73,105388.73,105388.73,105388.73,105388.73,105388.73,105388.73,105388.73,55000,42900
37033,37033,37032,37032,37033,45000,48900,55000,67236.75,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,146012.72,67236.75,45000
37032,37031,37031,37031,37031,37033,48500,50435.52,61428.58,61428.58,61428.58,61428.58,61428.58,61428.58,61428.58,61428.58,61428.58,61428.58,125947.24,125947.24,125947.24,61428.58,61428.58,48500
37000,37000,37000,37000,37000,37020,37020,37031,37500,37500,37500,55500,55000,55000,55000,55000,55000,55000,85353.75,85353.75,77350.91,55000,37500,37020
52000,52000,52000,52000,52000,52000,52000,52000,84839.56,84839.56,88977.37,88977.37,88977.37,88977.37,84839.56,84839.56,64874.7,84839.56,167230,185000,167230,88977.37,64874.7,52000
46000,40000,36000,34573,34573,34573,34573,36635,40000,46000,52000,53500,53500,53500,53500,47000,46000,52000,63010,63010,63010,55000,53500,46000
63010,63010,63010,63010,63010,70000,80000,80000,98236.53,167230,180000,188100.62,188100.62,188100.62,188100.62,188100.62,185000,180000,188100.62,188100.62,188100.62,185000,98236.53,70010
68000,66010,66010,66010,66010,69000,69320.99,80000,80000,84221.03,84221.03,84221.03,84221.03,84221.03,84221.03,84221.03,84221.03,84221.03,84221.03,87221.18,84221.03,84221.03,80000,69000
65531.51,63000,63000,63000,65531.51,67000,67000,67000,74500,74500,74900,74900,74900,74900,74900,74900,74900,74900,135000,167230,85000,74900,74500,67000
71900,71900,71500,71500,71900,71900,76000,83010,106682.85,106682.85,106682.85,106682.85,106682.85,106682.85,106682.85,106682.85,106682.85,106682.85,155000,167230,155000,106682.85,106682.85,71900
75000,75000,75000,75000,75000,109301.26,109301.26,109301.26,109301.26,109301.26,109301.26,130000,124628.21,124628.21,124628.21,124628.21,119503.34,119503.34,152565.18,152565.18,152565.18,124628.21,109301.26,109301.26
72000,70000,67950,67950,67950,70000,70000,74000,74000,74000,74900,74900,74900,74900,74000,74000,74000,74000,147023.63,147023.63,147023.63,74900,74000,74000
139792.79,120000,120000,73500,73500,73500,73000,120000,139792.79,140132.17,140724.42,145000,145000,140724.42,140132.17,140132.17,140132.17,140132.17,170000,170000,170000,155000,145000,139792.79
72500,72500,72500,72500,72500,77000,77000,77000,137839.73,137839.73,140000,145000,140000,140000,141730.03,140000,140000,140000,155721.72,155721.72,155721.72,155000,137839.73,77000
67000,67000,67000,67000,67000,68000,68000,71000,80000,85000,85000,85000,85000,85000,85000,85000,85000,85000,130000,130000,130000,85000,71000,67064.12
78000,78000,78000,78000,78000,111435,111435,111435,111435,111435,120370,130000,130000,130000,130000,130000,130000,111435,130000,130000,130000,111435,111435,100000
92138.56,90100,90100,90100,92138.56,98668.06,98668.06,120000,150000,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,165660.22,135000,98668.06
95000,95000,94000,94000,95000,95000,100000,113169.92,136799.15,136799.15,136799.15,136799.15,136799.15,136799.15,136799.15,136799.15,136799.15,136799.15,136799.15,140879.46,136799.15,136799.15,119703.95,95000
85500,85000,85000,85000,85000,85500,85500,85500,97000,97000,97000,115000,115000,97000,97000,90000,90000,90000,145000,145000,145000,97000,90000,85500
90000,89000,89000,89000,89000,89000,89000,89000,90000,90000,105000,105000,105000,105000,105000,90000,90000,105000,108303.95,108303.95,108303.95,108303.95,105000,90000
89500,89000,89000,89000,89500,90000,92000,97020,126008.1,150000,150000,150500,150500,150500,150500,150500,150500,150500,190000,191890,190000,150500,150000,90000
98000,95500,95500,95500,95500,101000,101000,108293.81,115500,115500,115500,145000,135000,135000,144200.28,135000,135000,115500,176388.91,176388.91,176388.91,135000,115500,101000
105500,105500,105500,105500,105500,110000,115000,125000,128000,128000,128000,145000,128000,128000,145000,145000,128000,128000,161400.2,161400.2,161400.2,135000,125000,108000
124000,124000,124000,124000,124000,125000,135000,150000,160000,167230,167674,167674,167674,167674,167674,167674,167674,167674,175538.78,175538.78,175538.78,167674,150000,125000
114900,114900,114900,114900,114900,118771.17,119000,121000,121000,121000,123500,151412,132000,132000,151412,151412,123500,123500,160000,160000,160000,135000,121000,119000
114900,114900,114900,114900,114900,114900,114900,115900,115900,117000,122000,122000,122000,122000,117000,117000,116000,116000,125000,132000,125000,122000,115900,114900
116641.13,110900,110900,110900,110900,110900,110900,110900,116641.13,116641.13,116641.13,119100,119100,119100,116641.13,116641.13,116641.13,116641.13,130000,130000,130000,119100,119100,116641.13
135000,130717.65,130717.65,130717.65,135000,137000,143000,143000,143000,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,145680.3,143000,137000
