"ANTIOQUI",590,563,552,564,634,775,862,918,972,1016,1061,1100,1075,1041,1035,1032,1032,1041,1162,1183,1089,958,819,700
"ATLANTIC",465,449,436,431,434,442,432,466,518,544,563,572,551,562,586,587,579,560,582,604,608,594,564,519
"BOGOTA",1104,1055,1046,1055,1210,1513,1630,1700,1794,1855,1915,1957,1908,1891,1916,1920,1882,1901,2142,2173,2136,1816,1524,1320
"BOLIVAR",323,317,309,303,299,300,289,299,324,334,343,353,352,357,363,361,356,350,382,400,399,390,374,343
"CAUCANAR",127,122,120,123,136,187,223,208,209,215,223,228,211,199,205,209,218,235,310,319,285,237,187,149
"CERROMAT",291,289,287,287,287,298,292,296,301,302,305,311,315,317,323,324,325,322,364,373,368,344,330,306
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",184,178,172,168,170,177,167,167,183,191,199,206,199,200,212,215,213,205,244,267,265,252,232,210
"CQR",228,217,212,214,227,271,297,310,327,344,368,380,362,355,360,359,362,370,448,469,447,383,320,271
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,114,0,0,0,0
"GCM",412,398,386,380,374,364,340,344,370,387,470,485,485,503,521,519,500,490,554,582,587,581,557,442
"HUILACAQ",91,87,85,84,82,95,104,110,119,127,136,143,137,136,145,146,146,144,176,188,176,150,123,103
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",93,88,86,86,87,96,97,108,123,130,136,144,140,140,143,139,141,141,167,166,161,141,123,106
"NORDESTE",682,662,647,646,665,697,720,764,815,849,950,962,927,934,964,964,954,968,1094,1097,1057,984,901,734
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",64,66,65,67,71,72,69,69,70,72,73,72,69,71,73,71,70,73,86,82,76,72,70,68
"TOLIMA",120,116,116,114,116,128,134,138,146,155,161,166,161,163,169,170,168,168,200,213,206,186,160,140
"VALLECAU",572,552,535,533,549,604,627,684,770,818,868,903,866,861,887,887,871,860,990,992,957,845,749,644
"Total",5346,5159,5054,5055,5341,6019,6283,6581,7041,7339,7771,7982,7758,7730,7902,7903,7817,7828,9055,9222,8817,7933,7033,6055
