"ANTIOQUI",641,610,594,604,658,758,857,937,1003,1037,1081,1129,1114,1083,1069,1060,1059,1051,1185,1197,1137,976,838,712
"ATLANTIC",510,491,480,469,467,463,452,488,543,567,584,597,581,602,611,615,603,581,614,630,631,620,596,554
"BOGOTA",1202,1139,1119,1126,1216,1404,1581,1714,1827,1891,1947,1986,1954,1904,1900,1894,1851,1815,2105,2099,2074,1805,1536,1328
"BOLIVAR",338,327,318,313,309,305,293,311,339,351,361,370,369,377,385,385,378,368,393,418,420,414,398,380
"CAUCANAR",129,122,120,122,137,187,219,208,207,213,223,228,209,199,202,209,215,232,323,325,287,238,189,148
"CERROMAT",293,289,287,286,287,292,283,290,297,295,296,297,303,303,310,306,306,310,340,354,351,330,317,299
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",200,192,187,184,185,187,169,174,189,196,205,212,202,204,214,215,212,209,238,263,262,255,236,215
"CQR",246,233,226,228,239,278,297,315,332,351,375,388,370,365,371,369,367,375,451,470,450,390,334,283
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,130,5,0,0,0
"GCM",433,417,405,401,398,378,356,364,388,400,415,424,418,440,458,456,447,501,555,582,589,582,560,463
"HUILACAQ",94,90,89,86,88,96,105,114,126,134,142,150,142,140,149,152,153,150,193,196,184,157,131,110
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",96,91,89,88,90,94,96,109,123,133,140,145,141,141,144,143,142,139,162,164,159,142,125,107
"NORDESTE",706,685,676,671,682,709,738,787,853,878,913,920,877,890,926,922,909,1053,1136,1151,1116,1053,971,751
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",66,69,69,70,72,72,69,69,72,72,74,72,72,74,75,72,70,72,85,84,79,73,70,68
"TOLIMA",129,124,121,121,123,135,138,145,158,167,174,178,173,175,180,181,178,176,208,217,208,192,167,146
"VALLECAU",620,588,571,568,585,638,660,722,804,856,909,946,917,907,927,931,927,907,1040,1037,996,896,795,700
"Total",5703,5467,5351,5337,5536,5996,6313,6747,7261,7541,7839,8042,7842,7804,7921,7910,7817,7939,9228,9317,8948,8123,7263,6264
