"ANTIOQUI",653,621,610,616,673,809,898,954,1009,1051,1101,1142,1121,1092,1083,1075,1068,1056,1171,1185,1102,969,843,732
"ATLANTIC",514,498,486,474,463,455,446,479,532,557,575,586,568,582,601,599,588,568,590,609,614,605,589,548
"BOGOTA",1183,1132,1105,1120,1267,1582,1659,1738,1828,1878,1931,1955,1903,1867,1888,1895,1870,1881,2117,2144,2096,1822,1544,1325
"BOLIVAR",357,346,340,334,323,318,306,321,346,359,371,381,380,389,394,384,383,375,394,413,410,407,397,376
"CAUCANAR",121,114,111,113,128,169,205,198,202,209,213,216,197,191,194,195,199,216,282,300,271,219,179,139
"CERROMAT",309,301,299,294,297,303,294,298,307,302,310,309,315,314,321,318,319,315,348,368,360,344,334,317
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",205,197,191,186,186,189,176,177,191,197,205,210,202,204,215,216,215,210,242,266,260,254,241,222
"CQR",253,237,230,233,244,282,303,317,338,357,381,393,376,370,376,374,374,383,456,477,451,394,335,283
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCM",439,421,412,406,399,384,357,363,385,396,410,421,415,434,455,448,434,420,463,496,516,511,498,468
"HUILACAQ",94,90,87,85,88,96,107,116,127,136,145,150,142,140,146,148,149,147,188,191,181,158,134,109
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",104,98,96,95,98,104,105,116,129,138,145,148,145,143,145,145,143,142,168,170,166,146,129,112
"NORDESTE",720,699,681,673,688,835,856,907,957,976,993,1008,960,975,1005,1010,1011,1012,1091,1103,1082,1062,963,769
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",61,66,67,68,70,69,67,67,71,76,76,73,70,75,74,72,74,78,85,80,78,75,71,67
"TOLIMA",125,120,118,117,118,130,132,143,153,162,170,175,170,170,176,176,174,170,204,213,203,185,163,142
"VALLECAU",623,588,586,569,581,635,653,717,804,854,909,949,919,919,936,938,923,900,1000,1036,994,887,796,698
"Total",5761,5528,5419,5383,5623,6360,6564,6911,7379,7648,7935,8116,7883,7865,8009,7993,7924,7873,8799,9051,8784,8038,7216,6307
