"ANTIOQUI",606,573,561,571,618,723,807,879,950,1001,1048,1075,1062,1018,996,987,978,999,1182,1189,1094,903,799,690
"ATLANTIC",421,403,393,386,386,390,382,408,456,474,483,491,477,482,502,504,500,511,552,541,539,519,496,463
"BOGOTA",1156,1074,1038,1055,1134,1278,1383,1533,1696,1766,1838,1903,1886,1844,1812,1799,1772,1752,2043,2047,2007,1780,1536,1325
"BOLIVAR",308,299,291,284,283,284,275,284,304,314,326,328,323,326,335,337,334,347,390,382,377,363,355,337
"CAUCANAR",118,112,109,110,121,157,192,189,193,197,205,209,193,184,180,187,194,210,291,297,267,223,178,138
"CERROMAT",301,298,295,297,297,298,286,293,303,296,294,296,305,309,312,312,311,317,376,382,381,342,329,314
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",199,192,185,181,181,185,175,173,184,189,195,202,196,194,203,205,206,214,271,270,266,253,236,218
"CQR",239,222,219,217,223,251,271,300,328,346,364,382,370,359,359,354,353,363,456,479,451,393,341,290
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,32,100,95,75,142,155,161,74,78,230,180,260,201,127,0
"GCM",392,379,368,364,359,357,340,339,355,358,369,381,373,382,394,395,387,492,567,567,574,565,540,416
"HUILACAQ",92,88,84,82,83,91,96,106,120,129,137,144,135,134,141,144,141,138,190,193,181,155,128,109
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",136,130,125,123,125,127,125,138,155,165,172,176,176,174,172,170,167,168,204,201,198,181,170,148
"NORDESTE",699,687,661,651,666,689,703,764,818,846,866,881,836,850,880,880,873,997,1131,1128,1084,999,920,740
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",68,72,70,71,71,69,68,74,75,75,74,74,76,77,76,78,77,79,87,85,82,76,75,71
"TOLIMA",129,122,121,119,124,132,132,145,161,174,181,185,180,179,184,181,181,185,224,236,227,202,180,154
"VALLECAU",579,546,530,531,544,591,603,675,755,797,850,888,857,852,867,869,849,833,981,976,939,834,750,655
"Total",5443,5197,5050,5042,5215,5622,5838,6300,6853,7159,7502,7710,7520,7506,7568,7563,7397,7683,9175,9153,8927,7989,7160,6068
