"ANTIOQUI",634,608,595,603,654,784,882,945,1009,1041,1095,1125,1109,1085,1075,1061,1049,1030,1167,1171,1081,959,831,726
"ATLANTIC",518,498,486,478,473,469,460,496,550,576,591,600,579,585,599,601,589,572,589,613,620,609,593,561
"BOGOTA",1214,1170,1150,1176,1285,1544,1659,1754,1873,1927,1989,1997,1944,1924,1936,1922,1886,1868,2081,2104,2061,1808,1564,1383
"BOLIVAR",358,348,338,331,328,320,305,313,331,346,353,360,363,363,365,361,357,350,379,402,411,407,393,374
"CAUCANAR",139,131,130,133,148,186,219,216,218,221,227,232,213,202,200,209,218,222,285,294,272,235,198,156
"CERROMAT",296,292,287,288,287,293,283,287,291,284,287,296,295,305,307,308,309,305,344,360,355,340,321,306
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",210,205,199,195,192,192,175,175,182,185,191,196,190,189,200,205,202,196,236,257,256,247,231,217
"CQR",251,238,229,229,242,278,298,318,338,355,378,391,373,368,370,367,369,375,453,472,447,389,334,289
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"GCM",443,424,414,406,401,383,360,368,382,398,411,509,496,526,542,539,521,489,542,599,614,604,583,465
"HUILACAQ",96,91,89,88,89,97,104,115,129,135,144,150,142,139,144,148,147,146,186,192,180,156,132,111
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",101,97,94,93,94,100,103,113,125,133,140,145,142,141,145,143,142,141,165,167,161,147,130,113
"NORDESTE",696,686,669,666,677,702,727,785,842,874,1034,1048,1003,1011,1047,1043,1036,1023,1111,1131,1092,1017,947,745
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",60,65,64,67,68,67,65,66,71,74,75,72,69,73,73,71,72,73,84,79,74,69,68,66
"TOLIMA",130,124,121,120,121,131,134,144,154,166,173,177,173,173,177,178,174,174,211,218,208,191,168,149
"VALLECAU",609,576,569,567,583,619,638,706,799,837,896,934,903,888,907,905,899,868,978,1004,964,855,775,696
"Total",5755,5553,5434,5440,5642,6165,6412,6801,7294,7552,7984,8232,7994,7972,8087,8061,7970,7832,8860,9063,8796,8033,7268,6357
