"ANTIOQUI",668,632,621,629,675,797,895,965,1016,1071,1114,1152,1133,1101,1092,1085,1077,1064,1177,1189,1115,1008,888,786
"ATLANTIC",525,507,494,485,482,480,470,503,557,581,597,605,586,596,615,613,600,577,601,618,626,616,600,566
"BOGOTA",1195,1138,1118,1127,1272,1570,1647,1751,1862,1917,1966,1988,1932,1903,1896,1885,1873,1879,2098,2096,2059,1787,1557,1359
"BOLIVAR",379,368,360,353,351,349,339,345,365,374,386,391,388,392,400,395,391,387,411,425,430,420,410,390
"CAUCANAR",121,116,114,116,130,167,202,199,202,206,215,222,200,191,196,198,206,216,285,300,271,220,180,143
"CERROMAT",304,299,297,294,299,299,289,300,308,305,303,302,310,314,317,319,319,318,351,367,363,344,328,318
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",209,203,198,190,190,199,184,185,199,204,215,221,211,213,222,224,226,223,252,270,264,249,234,218
"CQR",257,242,232,235,245,280,302,322,343,361,386,397,380,373,377,376,377,380,461,478,453,396,343,295
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCM",439,422,411,404,400,387,362,368,387,401,414,428,427,447,473,471,455,431,488,511,514,503,483,458
"HUILACAQ",99,93,91,90,92,100,109,120,131,140,148,155,145,145,152,155,154,151,192,196,182,160,137,115
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",114,111,108,108,110,116,119,130,145,153,161,163,160,160,164,164,162,161,184,184,178,161,143,126
"NORDESTE",726,707,688,686,698,730,747,798,859,886,917,930,888,905,945,944,940,929,1020,1028,990,916,846,772
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",61,67,66,69,70,69,66,67,72,75,75,72,70,74,74,72,75,76,86,80,76,72,72,70
"TOLIMA",129,125,122,120,121,129,132,145,157,167,175,182,176,177,181,182,179,176,209,219,209,190,167,149
"VALLECAU",635,603,586,582,597,642,670,717,815,867,924,948,924,921,933,929,930,888,1002,1029,993,881,803,724
"Total",5861,5633,5506,5488,5732,6314,6533,6915,7418,7708,7996,8156,7930,7912,8037,8012,7964,7856,8817,8990,8723,7923,7191,6489
