"ANTIOQUI",647,610,602,608,667,796,882,949,1001,1042,1096,1136,1114,1079,1073,1065,1054,1047,1169,1197,1118,984,849,726
"ATLANTIC",526,505,491,479,477,475,461,495,549,572,591,602,580,596,619,617,606,588,603,631,632,626,610,573
"BOGOTA",1176,1124,1102,1118,1262,1588,1685,1756,1857,1909,1964,1977,1928,1900,1911,1919,1920,1930,2164,2189,2114,1804,1549,1336
"BOLIVAR",367,362,355,348,344,339,323,337,361,374,389,393,390,397,406,403,400,392,419,435,440,434,426,403
"CAUCANAR",120,115,111,114,127,171,206,198,198,202,212,219,199,185,193,193,201,210,280,299,265,221,177,139
"CERROMAT",293,288,284,288,291,294,285,292,300,298,296,301,304,307,314,317,315,308,343,363,361,341,325,304
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",202,196,194,192,196,198,183,185,202,206,211,223,208,212,228,228,224,210,242,266,267,262,240,216
"CQR",254,240,231,232,242,287,311,326,351,362,381,394,376,372,375,374,375,382,450,474,450,398,340,287
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,200,0,0,120,120,120,0,200,200
"GCM",432,415,405,400,399,385,358,365,390,401,416,506,499,520,539,538,524,514,570,586,602,593,576,471
"HUILACAQ",96,90,88,86,89,97,106,118,129,138,146,151,144,143,152,154,153,153,190,194,181,158,131,109
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",109,105,102,102,104,113,114,124,139,145,151,155,152,151,157,155,151,150,173,174,166,150,132,116
"NORDESTE",721,699,685,679,697,731,743,776,844,884,969,975,933,953,995,991,989,989,1096,1111,1081,1023,940,764
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",61,66,66,68,70,69,66,66,71,77,76,72,69,74,74,72,74,77,84,81,78,74,70,68
"TOLIMA",129,124,121,120,122,132,136,148,157,167,173,179,175,174,180,180,178,174,208,219,209,188,166,145
"VALLECAU",626,589,585,575,595,636,672,718,814,859,917,953,924,913,942,939,927,903,993,1028,992,890,804,705
"Total",5759,5528,5422,5409,5682,6311,6531,6853,7363,7636,7988,8436,7995,7976,8358,8345,8091,8027,9104,9367,9076,8146,7535,6562
