"ANTIOQUI",670,637,628,637,698,828,915,969,1027,1063,1115,1157,1138,1104,1098,1093,1087,1078,1201,1211,1125,997,858,734
"ATLANTIC",521,504,491,477,472,468,455,487,543,566,583,597,578,596,614,613,601,583,631,629,633,626,608,567
"BOGOTA",1195,1135,1112,1123,1266,1565,1658,1754,1858,1902,1953,1985,1936,1895,1914,1916,1901,1896,2167,2164,2100,1815,1557,1329
"BOLIVAR",364,356,347,339,331,328,317,329,356,368,380,391,389,394,400,393,386,381,416,430,426,421,409,387
"CAUCANAR",125,112,107,111,129,174,213,197,199,202,210,219,199,188,193,198,204,217,285,307,269,222,177,145
"CERROMAT",304,301,300,296,300,303,293,300,308,307,306,307,312,312,323,322,323,320,356,370,362,348,333,317
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",202,196,190,186,191,194,180,182,196,202,210,218,213,214,222,222,225,221,256,273,268,261,245,225
"CQR",249,237,231,232,243,280,302,319,341,356,384,399,381,375,380,377,377,387,478,488,457,396,341,289
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,200,247,220,100,100,100,100,100,100,100,100,100,100,90,90,70,0,130,0,90,100,200
"GCM",435,418,408,403,398,387,360,365,386,400,496,505,506,536,557,552,529,509,574,605,613,614,586,464
"HUILACAQ",105,98,96,94,96,103,114,124,136,146,154,159,149,147,155,159,158,156,193,199,191,164,138,115
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",111,105,103,103,110,116,118,132,148,153,161,164,162,161,163,162,160,158,181,183,179,160,143,127
"NORDESTE",723,708,691,696,713,758,800,840,879,907,1042,1055,1036,1071,1070,1078,1055,1073,1160,1176,1131,1053,944,772
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",60,66,66,69,69,72,69,67,69,72,72,74,71,77,73,73,74,74,85,82,77,72,70,69
"TOLIMA",127,121,118,117,118,129,135,147,157,165,172,178,173,174,180,180,178,172,209,220,209,190,165,140
"VALLECAU",632,604,596,588,601,640,676,741,835,890,943,976,936,937,958,957,940,897,1015,1034,986,884,800,702
"Total",5823,5598,5684,5718,5955,6445,6705,7053,7538,7799,8281,8484,8279,8281,8400,8385,8288,8192,9207,9501,9026,8313,7474,6582
