"ANTIOQUI",605,564,542,530,538,554,563,631,720,776,810,846,854,835,797,783,755,779,896,927,887,786,705,624
"ATLANTIC",484,467,453,442,435,422,401,406,414,423,432,442,445,447,443,452,451,462,571,551,552,545,536,506
"BOGOTA",1144,1068,1038,1025,1034,1026,1018,1124,1254,1344,1400,1433,1453,1404,1338,1299,1291,1354,1653,1652,1612,1453,1299,1141
"BOLIVAR",343,332,330,328,322,312,299,296,301,302,307,311,313,317,316,314,324,329,391,394,392,382,375,357
"CAUCANAR",123,114,109,106,109,122,142,161,177,182,184,185,185,173,161,161,159,169,244,265,247,203,158,128
"CERROMAT",301,298,294,294,294,292,288,289,290,289,283,280,302,294,301,300,301,313,348,356,353,335,322,309
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",200,193,187,184,181,179,166,165,170,170,174,181,184,185,184,186,191,200,260,256,252,241,225,207
"CQR",256,240,230,222,221,225,221,245,250,269,279,293,292,291,279,277,294,305,405,418,405,355,312,271
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,40,60,50,0,0
"GCM",403,390,378,374,367,353,332,337,336,339,346,359,365,373,378,379,384,473,570,579,583,564,533,419
"HUILACAQ",97,91,86,84,83,86,88,94,100,106,109,116,117,116,115,115,114,116,168,173,165,146,126,107
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",105,101,97,96,95,93,92,103,113,120,128,133,136,133,129,125,123,132,153,152,149,135,122,109
"NORDESTE",712,696,680,674,668,655,659,682,723,747,769,781,783,772,765,760,758,918,1032,1052,1026,960,883,732
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",66,67,65,67,66,69,73,77,76,76,76,75,76,77,79,81,80,79,83,78,72,67,69,68
"TOLIMA",132,125,121,118,116,116,113,123,134,140,146,151,153,152,151,148,146,151,185,196,189,173,154,136
"VALLECAU",568,537,511,498,495,499,468,502,542,584,617,656,668,658,641,627,610,620,775,806,805,735,669,604
"Total",5539,5283,5121,5042,5024,5003,4923,5235,5650,5917,6110,6292,6376,6277,6127,6057,6031,6450,7784,7895,7749,7130,6488,5718
