1
ISAGEN S.A. E.S.P.,31,127,15642.03,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,36,328,15642.03,ANTIOQUI,NORDESTE
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,89,199,15893.38,ANTIOQUI,ATLANTIC
EMGESA S.A. E.S.P.,0,423,10006.77,ANTIOQUI,BOGOTA
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,169,109,13231.64,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,99,213,12915.38,VALLECAU,GCM
ISAGEN S.A. E.S.P.,34,104,31136.31,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,38,384,21129.54,PAGUA,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,278,4,31136.31,ANTIOQUI,COROZO
ISAGEN S.A. E.S.P.,294,1,17898.31,ANTIOQUI,CUATRICENTENARIO
PANAMA,69,328,11253.71,ANTIOQUI,PANAMA
PANAMA,74,57,11253.71,ANTIOQUI,PANAMA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,91,260,16216.06,ANTIOQUI,ATLANTIC
EMGESA S.A. E.S.P.,0,423,10391.26,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,139,33,16886.79,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,162,16886.79,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,154,102,6894.71,SANCARLO,CERROMAT
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,168,111,8459.73,VALLECAU,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,104,209,18184.08,ANTIOQUI,GCM
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,105,12,18184.08,ANTIOQUI,GCM
ELECTRIFICADORA DEL META S.A. E.S.P.,258,76,10391.26,ANTIOQUI,META
ISAGEN S.A. E.S.P.,38,311,20787.13,PAGUA,NORDESTE
ISAGEN S.A. E.S.P.,41,196,31178.39,ANTIOQUI,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,278,5,31178.39,ANTIOQUI,COROZO
ISAGEN S.A. E.S.P.,290,2,18184.08,ANTIOQUI,CUATRICENTENARIO
PANAMA,72,66,11661.8,ANTIOQUI,PANAMA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,88,97,18354.61,ANTIOQUI,ATLANTIC
EMGESA S.A. E.S.P.,0,423,12026.94,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,7,129,12026.94,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,9,194,12026.94,ANTIOQUI,BOGOTA
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,173,38,15371.66,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,174,77,15371.66,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,106,230,20601.48,ANTIOQUI,GCM
ISAGEN S.A. E.S.P.,34,359,35436.97,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,42,166,35436.97,ANTIOQUI,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,279,6,25686.63,TOLIMA,COROZO
ISAGEN S.A. E.S.P.,291,6,8574.53,BOGOTA,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,88,173,20016.72,ANTIOQUI,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,93,146,12971.31,VALLECAU,ATLANTIC
EMGESA S.A. E.S.P.,0,423,14050.54,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,2,359,14050.54,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,4,196,14050.54,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,7,129,14050.54,ANTIOQUI,BOGOTA
ISAGEN S.A. E.S.P.,31,260,37829.59,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,42,259,37829.59,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,287,9,14485.92,HUILACAQ,CUATRICENTENARIO
PANAMA,72,109,14594.81,ANTIOQUI,PANAMA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,82,275,13489.21,SANCARLO,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,84,35,18352.74,ANTIOQUI,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,141,202,19110.2,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,163,18,13209.57,ANTIOQUI,CERROMAT
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,173,116,15402.14,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,99,121,15073.7,VALLECAU,GCM
ISAGEN S.A. E.S.P.,35,520,30386.3,SANCARLO,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,281,12,23913.72,BOGOTA,COROZO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,86,109,17571.71,ANTIOQUI,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,93,204,12378.61,VALLECAU,ATLANTIC
EMGESA S.A. E.S.P.,0,423,10414.97,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,143,50,9855.41,TOLIMA,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,107,18309.6,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,150,47,13116.5,VALLECAU,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,99,26,14543.68,VALLECAU,GCM
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,100,217,7175.32,CERROMAT,GCM
ISAGEN S.A. E.S.P.,36,232,34032.13,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,41,196,34032.13,ANTIOQUI,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,282,12,28221.55,HUILACAQ,COROZO
ISAGEN S.A. E.S.P.,293,10,9321.8,BOGOTA,CUATRICENTENARIO
PANAMA,69,97,12561.45,ANTIOQUI,PANAMA
PANAMA,74,131,12561.45,ANTIOQUI,PANAMA
PANAMA,79,158,12561.45,ANTIOQUI,PANAMA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,82,320,12625.49,SANCARLO,ATLANTIC
EMGESA S.A. E.S.P.,0,423,12742.45,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,6,109,12742.45,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,7,129,12742.45,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,150,20221.54,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,150,57,13598.23,VALLECAU,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,169,10,16402.79,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,110,250,21730.31,ANTIOQUI,GCM
ELECTRIFICADORA DEL META S.A. E.S.P.,258,42,12742.45,ANTIOQUI,META
ISAGEN S.A. E.S.P.,37,50,26398.6,TOLIMA,NORDESTE
ISAGEN S.A. E.S.P.,42,216,36842.96,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,45,269,29496.13,HUILACAQ,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,283,12,36842.96,ANTIOQUI,COROZO
ISAGEN S.A. E.S.P.,296,10,21730.31,ANTIOQUI,CUATRICENTENARIO
EMGESA S.A. E.S.P.,0,423,12612.77,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,2,202,12612.77,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,7,129,12612.77,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,9,328,12612.77,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,150,206,13640.33,VALLECAU,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,97,208,15007.99,SANCARLO,GCM
ISAGEN S.A. E.S.P.,31,260,36963.14,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,34,157,36963.14,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,41,96,36963.14,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,45,3,29705.92,HUILACAQ,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,284,12,25490.87,LAMIEL,COROZO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,204,19411.89,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,97,179,15244.01,SANCARLO,GCM
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,102,14,20903.05,ANTIOQUI,GCM
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,105,53,20903.05,ANTIOQUI,GCM
ISAGEN S.A. E.S.P.,31,260,35839.39,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,32,217,22433.39,CERROMAT,NORDESTE
ISAGEN S.A. E.S.P.,46,57,35839.39,ANTIOQUI,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,281,12,23935.81,BOGOTA,COROZO
PANAMA,79,269,13406.01,ANTIOQUI,PANAMA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,88,314,31706.43,ANTIOQUI,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,142,205,30938.46,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,164,132,12540.35,ANTIOQUI,CERROMAT
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,169,55,34697.97,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,183,66,25937.32,BOGOTA,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,113,15,29453.09,ANTIOQUI,GCM
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,115,170,24170.19,HUILACAQ,GCM
ISAGEN S.A. E.S.P.,41,196,42085.32,ANTIOQUI,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,285,14,34806.27,TOLIMA,COROZO
ISAGEN S.A. E.S.P.,288,12,16912.75,CERROMAT,CUATRICENTENARIO
PANAMA,79,384,12540.35,ANTIOQUI,PANAMA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,82,157,90548.66,SANCARLO,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,87,192,35991.86,NORDESTE,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,233,95258.12,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,184,154,141332.19,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,106,276,77054.5,ANTIOQUI,GCM
ISAGEN S.A. E.S.P.,35,638,54556.8,SANCARLO,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,281,14,40233.21,BOGOTA,COROZO
ISAGEN S.A. E.S.P.,298,12,51241.26,LAMIEL,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,94,50,78819.13,TOLIMA,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,95,301,73267.34,BOGOTA,ATLANTIC
EMGESA S.A. E.S.P.,0,423,29688.91,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,4,196,29688.91,ANTIOQUI,BOGOTA
