1,101,10,7,7,9,3,10,6,4,10,14,11,10,8,15,14,11,9,11,8,14,17,13,9,10,458261124.67,320665104.75,267467489.88,219493963.09,144717914.32,377065486.37,239202179.27,266505411.77,822477399.6,956790403.74,1082056546.88,1267962485.44,844449468.15,1010879660.53,1208247628.67,1168070660.73,846353566.91,1196368990.71,3670179438.47,4480543813.43,4235278582.25,3464533800.78,2156414902.56,961739229.6
2,113,7,6,8,7,5,12,8,11,10,12,12,10,7,16,15,13,12,11,10,12,16,13,10,12,240422837.41,225383651.78,205071914.25,156452891.03,138170996.32,319459944.72,286071633.86,519323304.18,675385391.94,773444874.11,960090290.85,1401897468.38,955066411.61,1264873311.01,1663914653.22,1408898681.75,1134589220.9,1278297667.84,4243748484.17,3509923996.16,3479796192.53,2595286079.34,2095380327.36,771185612.03
3,111,11,9,12,11,9,12,9,5,0,13,13,11,7,18,16,13,14,12,11,13,18,11,9,10,384882286.42,370269499.72,304630400.44,281799632.14,283947403.68,371286120.47,342320813.75,278492887.02,0,518429475.91,642354101.85,1046633004.94,662127545.07,993817316.98,1122225282.74,987090861.65,877361705.55,837039448.01,2317354096.29,2245030157.34,2087838056.14,1372519394.26,1196333688.99,728449278
4,120,10,10,10,10,9,12,11,10,9,14,13,8,7,18,16,10,12,9,10,13,17,13,11,10,387707372.25,356185349.89,248050709.09,291399483.06,265848876.08,464818349.61,501985713.91,473032337.57,554903807.3,1082327407.75,1685599772.99,1808529962.27,1666348147.19,2219093404.53,2628609832.05,1909920879.42,1920145033.09,1807699752.94,4361400608,4013763390.51,3939284286.84,3342438685.32,2771445031.26,1740091420.85
5,108,0,0,0,0,0,0,0,0,0,14,14,8,7,18,16,10,12,11,12,13,18,16,14,14,0,0,0,0,0,0,0,0,0,1533324795.09,2041985958.12,1885612460.05,2008848136.1,2355169128.51,2722011982.99,2056887583.36,1967053082.57,2044410602.48,4617289425.8,4432231748.53,4166022089.08,3508333602.19,3399520688.74,2717103334
6,118,0,10,12,11,8,12,0,0,0,14,15,11,7,15,17,10,12,14,11,12,17,13,13,11,0,324918616.02,179970072.93,170384268.06,159362210.37,267299268.53,0,0,0,1127709201.79,1594522240.17,1676054676.63,1303092760,1570342150.78,1836372624.54,1282933766.43,1289955151.67,1605283533.97,3123445725.39,2744280237.25,2845185000.78,2350603177.53,2360716269.52,2207118035.61
7,131,10,0,0,0,0,0,0,0,14,18,15,9,11,20,17,18,17,15,12,14,18,18,14,13,1590905139.79,0,0,0,0,0,0,0,1138789176.39,1633808643.62,1702347469.35,1553498848.1,1772213123.56,1909097262.9,2210404180.31,1768783422.11,1781365289.83,1882526118.32,3025068283.09,3091479056.36,3065229174.43,2952415496.69,2672477865.44,2944222276.67
8,143,0,0,0,0,0,0,0,0,0,18,18,0,19,19,18,17,17,15,10,15,15,17,13,14,0,0,0,0,0,0,0,0,0,238055201.93,367370798.21,0,451439549.73,506475627.33,562736495.61,499316314.16,457021055.55,545219376.49,879221376.86,1150459631.91,1179593884.09,1243192520.04,1281250638.17,1001174225.81
9,92,0,0,0,0,0,0,0,0,13,15,14,13,13,9,14,10,12,14,17,18,10,0,0,0,0,0,0,0,0,0,0,0,331982560.61,380410063.25,436571441.71,1105511807.5,920136521.74,651511629.77,963480792.77,931825830.55,930384991.81,559488016.45,1719302266.31,2530259914,1777050104.85,0,0,0
10,86,7,0,0,0,9,8,7,7,11,14,12,9,9,9,15,9,11,13,11,14,8,10,14,13,723226263.14,0,0,0,540459910.02,487894893.19,477630725.56,925909035.62,1268427217.49,1499779078.92,1136735398.52,1162095014.56,1226553024.03,1033867756.23,1094824590.02,1247958149.39,1333995457.72,1275349968.83,2180697675.37,2417080122.51,1756501337.11,1554241263.74,1270430245.64,986209478.82
11,100,7,10,9,10,9,10,12,9,11,12,12,12,12,13,17,11,11,12,8,14,7,10,14,13,1142418499.99,867493809.72,773187755.65,737097456.15,935585083.09,944265714.52,1281012121.33,1625879310.41,1737738485.14,1922467789.59,1821871213.19,2318490940.65,2123270609.52,1789500489.21,2211181171.77,2078304732.89,2044831764.64,1848350728.85,2197221491.28,3321850971.92,2823961326.34,2155050661.98,1829118244.76,1523152001.5
