1,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,82,9899.34,0,0,0,0,0,0,0,0,0,0,0,275,0,320,0,0,0,157,0,0,0,127,302,0,0,0,0,0,0,0,0,0,0,0,0,13489.21,0,12625.49,0,0,0,90548.66,0,0,0,79338.12,20326.87,SANCARLO,ATLANTIC
EMGESA S.A. E.S.P.,4,0,0,5794.25,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14050.54,0,0,0,0,0,0,0,29688.91,0,0,0,0,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,142,0,0,6583.95,126,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,5484.28,0,0,0,0,0,0,0,0,0,0,0,0,0,30938.46,0,0,0,0,0,0,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,0,0,6583.95,0,0,0,0,0,0,162,0,0,0,107,150,0,204,0,233,0,137,0,223,0,0,0,0,0,0,0,0,0,0,16886.79,0,0,0,18309.6,20221.54,0,19411.89,0,95258.12,0,93281.31,0,73430.56,0,ANTIOQUI,BOLIVAR
ISAGEN S.A. E.S.P.,289,0,0,5702.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SANCARLO,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,145,0,0,0,5484.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTIOQUI,BOLIVAR
ISAGEN S.A. E.S.P.,36,0,0,0,9105.56,0,300,0,328,0,0,0,0,0,232,0,0,0,0,0,0,269,328,0,0,0,0,0,0,0,13567.07,0,15642.03,0,0,0,0,0,34032.13,0,0,0,0,0,0,63296.51,55488.79,0,0,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,37,0,0,0,4880.03,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26398.6,0,0,0,0,0,0,0,0,0,TOLIMA,NORDESTE
EMGESA S.A. E.S.P.,210,0,0,0,4225.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTIOQUI,TOLIMA
ISAGEN S.A. E.S.P.,290,0,0,0,5812.99,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18184.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTIOQUI,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,86,0,0,0,0,5389.92,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17571.71,0,0,0,0,0,0,0,0,0,0,ANTIOQUI,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,88,0,0,0,0,0,7309.24,256,0,0,0,97,173,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,6595.94,0,0,0,18354.61,20016.72,0,0,0,0,0,31706.43,0,0,0,0,0,0,ANTIOQUI,ATLANTIC
EMGESA S.A. E.S.P.,2,0,0,0,0,0,5601.11,0,0,0,0,0,359,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14050.54,0,0,0,12612.77,0,0,0,0,0,0,0,0,ANTIOQUI,BOGOTA
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,170,0,0,0,0,0,5227.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SANCARLO,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,102,0,0,0,0,0,8132.35,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20903.05,0,0,0,0,0,0,0,ANTIOQUI,GCM
ISAGEN S.A. E.S.P.,39,0,0,0,0,0,13567.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32192.45,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,292,0,0,0,0,0,5874.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALLECAU,CUATRICENTENARIO
PANAMA,74,0,0,0,0,0,5404.47,0,0,57,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11253.71,0,0,0,0,12561.45,0,0,0,0,0,0,0,0,0,0,ANTIOQUI,PANAMA
